"question_text","question_image","option_a","option_b","option_c","option_d","option_e","correct_answer","score_weight"
"Teks 2. Industri tekstil dan garmen saat ini menjadi industri strategis bagi perekonomian negara mengingat Indonesia memiliki 250 juta penduduk. Industri ini merupakan sektor manufaktur terbesar ketiga dan menjadi salah satu industri yang paling banyak menyerap tenaga kerja. Pada tahun 2017, ekspor tekstil dan produk tekstil Indonesia mencapai US$12,4 miliar yang mana melebihi target Asosiasi Pertekstilan Indonesia (API) sebesar US$11,8 miliar. Pakaian jadi (konveksi) merupakan salah satu andalan ekspor nonmigas Indonesia. Nilai ekspor konveksi tekstil tersebut merupakan terbesar ketiga setelah batu bara US$ 20,63 miliar dan minyak sawit US$ 17,89 miliar. Data Badan Pusat Statistik mencatat nilai ekspor pakaian jadi nasional ke AS sepanjang 2018 mencapai US$ 3,78 miliar (Rp52,87 triliun) tumbuh 9,3% dari tahun sebelumnya.

paragraf 2, manakah di bawah ini simpulan yang PALING MUNGKIN benar mengenai ekspor pakaian jadi Indonesia?","","Pertumbuhan pasar ekspor pakaian jadi Indonesia naik 9,3%.","Jepang merupakan pasar utama produk pakaian jadi Indonesia.","Pasar utama produk pakaian jadi Indonesia adalah Amerika Serikat.","Amerika Serikat dan Jerman merupakan dua negara dengan nilai ekspor tertinggi.","Nilai ekspor pakaian jadi Indonesia ke Amerika Serikat lebih sedikit daripada tahun lalu.","C","1"
"Berdasarkan Gambar 2 (Data 10 Negara Tujuan Utama Ekspor), negara tujuan ekspor manakah yang memberikan nilai ekspor terendah ketiga?","img/soal/gambar2.jpg","Belgia","Inggris","Kanada","Malaysia","Australia","B","1"
"Berdasarkan Gambar 2, negara tujuan ekspor manakah yang bernilai US$347,2 juta?","img/soal/gambar2.jpg","Jepang","Kanada","Australia","Korea Selatan","Amerika Serikat","D","1"
"Berdasarkan Gambar 2, negara tujuan ekspor manakah yang memberikan nilai ekspor lebih dari US$500 juta?","img/soal/gambar2.jpg","Belgia","Jerman","Jepang","Tiongkok","Korea Selatan","C","1"
"Tentukan bilangan yang tepat pada kotak kosong (berdasarkan pola pada gambar)!","img/soal/soal_15.jpg","4","6","8","10","12","C","1"
"Tentukan bilangan yang tepat pada kotak kosong (berdasarkan pola pada gambar)!","img/soal/soal_16.jpg","12","14","15","16","17","B","1"
"Selesaikan persamaan matematis berikut: $[\frac{\frac{3}{5} \times 40\%}{(\frac{2}{3})^{2}}] \times \sqrt{0,25} = ...$","","2.250","15.000","16.875","33.750","67.500","C","1"
"Selesaikan persamaan matematis berikut: $\frac{1}{1 \times 2} + \frac{1}{2 \times 3} + \frac{1}{3 \times 4} + \frac{1}{4 \times 5} = ...$","","0.67","0.7","0.75","0.77","0.8","E","1"
"Sebuah bilangan terdiri dari empat buah angka yang berbeda. Jumlah keempat angka adalah 12. Angka pertama ditambah angka ketiga sama dengan angka keempat dikurangi angka kedua. Angka kedua sama dengan selisih angka pertama dan ketiga. Angka keempat dibagi angka ketiga sama dengan angka pertama dibagi angka kedua. Bilangan tersebut adalah....","","1236","1326","1632","2136","2316","D","1"
"Sekolah Populer memiliki sebuah asrama berisi sejumlah kamar. Jika setiap kamar diisi dua orang siswa, akan ada dua belas siswa yang tidak memperoleh kamar. Jika setiap kamar diisi oleh tiga orang siswa akan ada dua kamar yang kosong. Berapa banyak kamar yang tersedia di asrama Sekolah Populer?","","16","18","20","22","24","B","1"
"Dua puluh buku ditumpuk merata pada empat rak. Ada tiga jenis buku yaitu fiksi ilmiah, misteri, dan biografi. Buku misteri dua kali lebih banyak dari fiksi ilmiah. Buku-buku ditumpuk sebagai berikut: Empat buku fiksi ilmiah ada di rak nomor 2. Ada setidaknya satu misteri di masing-masing rak. Rak nomor 3 dan 4 memiliki jumlah yang sama dari buku misteri. Tidak ada rak yang hanya berisi satu jenis buku. Manakah dari berikut ini harus benar?","","Rak nomor 1 berisi setidaknya satu buku fiksi ilmiah","Rak nomor 2 berisi tepat satu biografi","Rak nomor 3 tidak ada buku-buku fiksi ilmiah","Rak nomor 3 berisi lima buku biografi","Rak nomor 2 mengandung setidaknya dua buku misteri","C","1"
"Berdasarkan aturan penumpukan buku sebelumnya, jika buku di rak nomor 1 dan rak nomor 4 digabungkan, maka harus benar bahwa kombinasi ini akan berisi....","","Jumlah yang sama buku misteri dan biografi","Tepat satu buku fiksi ilmiah","Semua biografi","Setengahnya buku misteri","Lebih dari setengah adalah biografi","E","1"
"Berdasarkan aturan penumpukan buku sebelumnya, semua hal berikut ini benar, kecuali....","","Rak nomor 2 tidak berisi biografi","Rak nomor 3 tidak terdapat fiksi ilmiah","Rak nomor 4 berisi jumlah yang sama setiap buku","Rak nomor 1 bisa terdapat sebagian besar buku misteri","Rak nomor 3 bisa terdapat tiga buku biografi","C","1"
"Berdasarkan aturan penumpukan buku sebelumnya, Rak nomor 1 harus memiliki.....","","Dua jenis buku yang berbeda dalam rasio 3: 2","Dua jenis buku dalam rasio 4:1","Tiga jenis buku yang berbeda dalam rasio 2:2:1","Empat buku misteri","Setidaknya ada dua buku biografi","E","1"
"Lengkapi barisan bilangan berikut: 21, 30, 22, 22, 28, 24, 23, 26, 26, 24, ..., ...","","26; 24","24; 26","24; 28","26; 28","28; 30","C","1"
"Lengkapi barisan bilangan berikut: 1, 3, 4, 7, 11, 18, ...","","25","26","27","28","29","E","1"
"Lengkapi barisan bilangan berikut: 5, 6, 12, 9, 13, 65, 59, 66, ...","","58","74","128","340","528","E","1"
"Nilai 12,5% dari 512 adalah....","","24","25","26","29","212","C","1"
"Jika $(20,11 \times (0,001)^{2}) \times n = 2011$, maka n adalah....","","10^4","10^5","10^6","10^7","10^8","E","1"
"Sepuluh anak membentuk kelompok bermain yang masing-masing terdiri lima anak. Rata-rata usia kelompok pertama adalah 6 tahun, dan kelompok kedua adalah 6,4 tahun. Jika satu anak dari masing-masing kelompok ditukarkan, maka rata-rata usia kedua kelompok sama. Berapa tahun selisih usia kedua anak yang di pertukarkan ?","","2","1","0.5","0.4","0.1","B","1"
