name,passing_grade,career_prospects,descriptions,rating,accreditation,ukt_range,enthusiasts,related_subjects,capacity
Manajemen (S1),455-485,"Manajer Perusahaan, Wirausahawan, Konsultan Bisnis, Staf HRD, Marketing Manager, Analis Investasi, Staf BUMN","Prodi Manajemen UNSIL membentuk profesional yang mampu mengelola organisasi dan sumber daya secara efektif dan efisien. Mahasiswa mempelajari manajemen strategi, manajemen keuangan, pemasaran, manajemen operasional, dan pengembangan organisasi. Program ini juga membekali mahasiswa dengan jiwa kewirausahaan (entrepreneurship) dan kemampuan analisis bisnis berbasis data untuk menghadapi persaingan global.",4.3,Baik Sekali,Rp500.000 - Rp7.000.000,1233,"Ekonomi, Matematika",172
Akuntansi (S1),450-480,"Akuntan Publik, Auditor, Staf Keuangan, Controller, Analis Anggaran, Konsultan Pajak, Staf BPKP/BPK, Akuntan Pemerintah","Prodi Akuntansi mendidik mahasiswa untuk menguasai siklus akuntansi, pelaporan keuangan, perpajakan, auditing, dan sistem informasi akuntansi sesuai standar nasional dan internasional. Mahasiswa dibekali kemampuan analisis laporan keuangan, pengendalian internal, dan etika profesi akuntan yang tinggi. Lulusan siap menempuh ujian profesi akuntan (CPA) dan berkarir di sektor swasta, publik, maupun sebagai akuntan publik independen.",4.3,Baik Sekali,Rp500.000 - Rp7.000.000,967,"Matematika, Ekonomi, Akuntansi",146
Perbankan dan Keuangan (D3),435-460,"Teller Bank, Customer Service Bank, Staf Kredit, Analis Keuangan Junior, Staf Leasing, Staf Koperasi","Prodi D3 Perbankan dan Keuangan UNSIL merupakan program vokasi yang mencetak tenaga ahli madya di bidang perbankan dan keuangan yang siap kerja. Mahasiswa mempelajari operasional perbankan, analisis kredit, manajemen risiko, treasury, dan regulasi perbankan Indonesia. Program ini menekankan praktik langsung melalui magang di perbankan dan lembaga keuangan agar lulusan memiliki keterampilan teknis yang relevan dengan kebutuhan industri.",4.1,B,Rp500.000 - Rp6.500.000,1932,"Matematika, Ekonomi",107
Perbankan dan Keuangan Digital (D4),430-460,"Analis Fintech, Staf Bank Digital, Manajer Risiko Digital, Konsultan Keuangan Digital, Staf OJK, Developer Aplikasi Keuangan","Prodi D4 Perbankan dan Keuangan Digital adalah program vokasi tingkat sarjana terapan yang memadukan ilmu keuangan dengan teknologi digital. Mahasiswa mempelajari perbankan digital, fintech, blockchain, manajemen risiko digital, dan regulasi keuangan berbasis teknologi. Sebagai program yang relatif baru, prodi ini menjawab kebutuhan industri keuangan yang semakin bertransformasi ke arah digital dan cashless society.",4,Baik,Rp500.000 - Rp6.500.000,1355,"Matematika, TIK, Ekonomi",32
Teknik Sipil (S1),445-475,"Konsultan Teknik, Kontraktor, Staf PU, Perencana Infrastruktur, Project Manager Konstruksi, Peneliti Material Bangunan, Staf BUMN Konstruksi","Prodi Teknik Sipil UNSIL mempersiapkan insinyur yang mampu merancang, membangun, dan memelihara infrastruktur seperti jembatan, jalan, bendungan, dan gedung. Mahasiswa mempelajari mekanika teknik, struktur bangunan, hidrolika, geoteknik, manajemen proyek, dan analisis material konstruksi. Dengan jam praktikum dan studio perancangan yang intensif, lulusan siap menghadapi tantangan pembangunan infrastruktur Indonesia yang terus berkembang.",4,Baik,Rp500.000 - Rp8.000.000,563,"Fisika, Matematika, Kimia",70
Teknik Elektro (S1),445-475,"Insinyur Elektrikal, Teknisi Energi Terbarukan, Staf PLN, Perancang Sistem Elektronik, Peneliti Otomasi, Staf Telekomunikasi","Prodi Teknik Elektro mengkaji sistem tenaga listrik, elektronika, kendali otomatis, dan telekomunikasi untuk menghasilkan insinyur yang kompeten di era industri modern. Mahasiswa mendapatkan pengalaman praktis di laboratorium teknik daya, elektronika, dan sistem kendali. Lulusan mampu merancang sistem kelistrikan industri, mengembangkan solusi energi terbarukan, serta bekerja di sektor telekomunikasi dan otomasi.",4,Baik Sekali,Rp500.000 - Rp8.000.000,312,"Fisika, Matematika",50
Informatika (S1),465-495,"Software Engineer, Data Scientist, AI Engineer, Pengembang Web/Mobile, Cybersecurity Analyst, Game Developer, Dosen TIK","Prodi Informatika UNSIL mempersiapkan tenaga ahli di bidang rekayasa perangkat lunak, kecerdasan buatan, dan ilmu komputer secara menyeluruh. Mahasiswa mempelajari pemrograman, algoritma, basis data, jaringan komputer, machine learning, dan keamanan siber. Dengan kurikulum yang terus diperbarui mengikuti tren industri teknologi, lulusan siap berkompetisi di perusahaan teknologi nasional maupun multinasional.",4.4,Baik Sekali,Rp500.000 - Rp8.000.000,924,"Matematika, TIK, Fisika",93
Sistem Informasi (S1),455-485,"Analis Sistem, IT Consultant, Database Administrator, Business Analyst, ERP Specialist, Manajer Proyek TI, Staf Transformasi Digital","Prodi Sistem Informasi berfokus pada pengelolaan dan pengembangan sistem informasi berbasis teknologi untuk mendukung kebutuhan bisnis dan organisasi. Mahasiswa mempelajari analisis dan desain sistem, manajemen proyek TI, basis data, pemrograman enterprise, dan tata kelola TI. Lulusan memiliki kemampuan unik dalam menjembatani kebutuhan bisnis dengan solusi teknologi informasi yang efektif dan efisien.",4.2,Baik Sekali,Rp500.000 - Rp8.000.000,618,"Matematika, TIK, Ekonomi",52
Agroteknologi (S1),440-465,"Penyuluh Pertanian, Peneliti Tanaman, Staf Dinas Pertanian, Wirausaha Agribisnis, Staf Perusahaan Benih/Pupuk, Konsultan Pertanian","Prodi Agroteknologi mempelajari ilmu dan teknologi budidaya tanaman secara komprehensif, mulai dari agronomi, ilmu tanah, perlindungan tanaman, pemuliaan tanaman, hingga bioteknologi pertanian. Mahasiswa mendapatkan pengalaman praktis di lahan percobaan dan laboratorium pertanian untuk mengembangkan sistem budidaya yang produktif dan berkelanjutan. Lulusan diharapkan mampu berinovasi dalam teknologi pertanian guna mendukung ketahanan pangan nasional.",4,Baik Sekali,Rp500.000 - Rp6.500.000,348,"Biologi, Kimia, Geografi",71
Agribisnis (S1),435-460,"Wirausaha Agribisnis, Staf Pemasaran Produk Pertanian, Konsultan Agribisnis, Analis Pasar Komoditas, Staf Kementerian Pertanian, Manajer Koperasi Tani","Prodi Agribisnis UNSIL mengintegrasikan ilmu pertanian dengan ilmu manajemen dan ekonomi untuk menghasilkan profesional yang mampu mengelola usaha pertanian secara bisnis. Mahasiswa mempelajari manajemen agribisnis, ekonomi pertanian, pemasaran hasil pertanian, kewirausahaan, dan analisis rantai nilai komoditas. Dengan pendekatan pembelajaran berbasis kasus nyata, lulusan siap membangun dan mengembangkan usaha pertanian yang berkelanjutan dan berdaya saing.",4,Baik Sekali,Rp500.000 - Rp6.500.000,394,"Ekonomi, Biologi, Geografi",91
Teknologi Pangan dan Hasil Pertanian (S1),440-465,"Quality Control Industri Pangan, Peneliti Pangan, Konsultan Halal, Staf BPOM, Wirausaha Pangan, Food Scientist, Staf Kementan","Prodi Teknologi Pangan dan Hasil Pertanian mempelajari ilmu pengolahan, pengawetan, dan pengembangan produk pangan berbasis bahan baku pertanian. Mahasiswa mengkaji kimia pangan, rekayasa proses pangan, mikrobiologi pangan, analisis mutu, dan keamanan pangan sesuai standar nasional dan internasional. Lulusan mampu berinovasi dalam menciptakan produk pangan fungsional dan halal yang bernilai tambah tinggi, sekaligus memastikan keamanan dan kualitas produk pangan bagi konsumen.",4,Baik Sekali,Rp500.000 - Rp6.500.000,223,"Kimia, Biologi, Matematika",30
Ekonomi Syariah (S1),430-455,"Staf Bank Syariah, Konsultan Keuangan Syariah, Auditor Syariah, Staf DSN-MUI, Wirausaha Berbasis Syariah, Peneliti Ekonomi Islam","Prodi Ekonomi Syariah UNSIL mempelajari sistem ekonomi Islam yang berlandaskan pada prinsip-prinsip syariah seperti larangan riba, bagi hasil, dan keadilan ekonomi. Mahasiswa mengkaji fiqh muamalah, akuntansi syariah, perbankan Islam, zakat dan wakaf, serta manajemen keuangan syariah. Lulusan dipersiapkan untuk berkontribusi pada pengembangan industri keuangan syariah Indonesia yang terus bertumbuh pesat.",3.9,B,Rp500.000 - Rp6.000.000,287,"Ekonomi, PAI, Matematika",108
Manajemen Mutu Halal (S1),420-445,"Auditor Halal, Konsultan Sertifikasi Halal, Staf BPJPH, Peneliti Produk Halal, Quality Assurance Perusahaan Halal, Wirausaha Produk Halal","Prodi Manajemen Mutu Halal UNSIL adalah program studi yang relatif baru dan unik, berfokus pada sistem jaminan halal dan manajemen mutu produk berbasis syariah. Mahasiswa mempelajari fikih halal-haram, sistem manajemen mutu (ISO), audit halal, regulasi sertifikasi halal, dan teknologi pengujian produk halal. Di tengah meningkatnya permintaan produk halal secara global, lulusan prodi ini memiliki peluang karir yang sangat prospektif di lembaga sertifikasi, industri pangan, kosmetik, dan farmasi.",3.7,Terakreditasi Sementara,Rp500.000 - Rp6.000.000,143,"Biologi, Kimia, PAI",32
Kesehatan Masyarakat (S1),445-475,"Epidemiolog, Penyuluh Kesehatan, Staf Dinas Kesehatan, Peneliti Kesehatan, Administrator Rumah Sakit, Staf WHO/Lembaga Internasional, Sanitarian","Prodi Kesehatan Masyarakat UNSIL mempersiapkan tenaga ahli yang mampu mengidentifikasi, menganalisis, dan menyelesaikan masalah kesehatan pada tingkat komunitas dan populasi. Mahasiswa mempelajari epidemiologi, biostatistik, promosi kesehatan, kesehatan lingkungan, gizi masyarakat, dan administrasi kebijakan kesehatan. Lulusan mampu merancang program intervensi kesehatan berbasis bukti dan bekerja sama lintas sektor untuk meningkatkan derajat kesehatan masyarakat secara menyeluruh.",4.2,Baik Sekali,Rp500.000 - Rp8.000.000,712,"Biologi, Kimia, Matematika",88
Gizi (S1),445-475,"Ahli Gizi Klinis, Konsultan Gizi, Nutritionist, Peneliti Gizi, Staf BPOM, Penyuluh Gizi Masyarakat, Staf Dinas Kesehatan, Dietisien","Prodi Gizi UNSIL mendidik mahasiswa untuk menjadi ahli gizi yang kompeten dalam menilai, merencanakan, dan mengelola kebutuhan gizi individu maupun masyarakat. Mahasiswa mempelajari ilmu gizi dasar, dietetik klinis, gizi masyarakat, biokimia gizi, dan konseling gizi. Program ini juga menekankan praktik klinis di rumah sakit dan puskesmas agar lulusan terampil dalam penerapan asuhan gizi terstandar dan program penanggulangan masalah gizi nasional.",4.1,Baik Sekali,Rp500.000 - Rp8.000.000,389,"Biologi, Kimia, Matematika",72
Ilmu Politik (S1),435-460,"Analis Kebijakan Publik, Peneliti Politik, Staf Lembaga Legislatif, Konsultan Politik, Jurnalis, Diplomat, Staf LSM/NGO, PNS Kementerian","Prodi Ilmu Politik FISIP UNSIL membekali mahasiswa dengan pemahaman mendalam tentang sistem politik, tata kelola pemerintahan, hubungan internasional, dan dinamika demokrasi. Mahasiswa mengkaji teori politik, perilaku pemilih, analisis kebijakan publik, politik lokal, dan perbandingan sistem politik dunia. Dengan kemampuan analisis kritis dan komunikasi yang kuat, lulusan siap berkarir di lembaga pemerintahan, parlemen, media massa, maupun organisasi masyarakat sipil.",3.9,B,Rp500.000 - Rp6.500.000,356,"Sosiologi, Sejarah, PKn",100
