"question_text","question_image","option_a","option_b","option_c","option_d","option_e","correct_answer","score_weight","discussion"
"Based on Text 3, the following paragraph of the passage most likely talk about ...","","New normal concept by Indonesian government","Vietnam actions to curb COVID-19 pandemic","Central government political-economy policies","The large-scale social restriction (PSBB) loosening in Indonesia","The first and second PSBB phase in Indonesia","B","1",""
"Text 4. Rss in Britain began clinical trials of a potential COVID-19 vaccine on Thursday, April 23, as other vaccine developers across Europe also stepped up work on experimental shots against the disease caused by the new coronavirus. A team at Britain's Oxford University dosed the first volunteers in a trial of their vaccine called ""ChAdOx1 nCoV-19"" while Italy's ReiThera, Germany's Leukocare and Belgium's Univercells said they were working together on another potential shot and aimed to start trials in a few months. Britain's GSK and France's Sanofi last week announced a similar agreement to develop a COVID-19 vaccine, with trials starting in the second half of the year. As many as 100 potential COVID-19 candidate vaccines are now under development by biotech and research teams around the world, and at least five of these are in preliminary testing in people in what is known as Phase 1 clinical trials. The Oxford scientists said last week that large-scale production capacity was being put in place to make millions of doses of the ChAdOx1 nCoV-19 shot, even before trials show whether it is effective. They said on Thursday that the focus of initial tests is ""to find out if this vaccine is going to work against COVID-19, if it won't cause unacceptable side effects and if it induces good immune responses"". Charlie Weller, head of vaccines at the Wellcome Trust global health charity, said on Wednesday that to develop safe and effective COVID-19 vaccines to protect everyone as soon as possible, ""the world needs to be prepared to execute the largest and fastest scale-up in vaccine manufacturing history"". 12. In which paragraph(s) does the writer mention about urge to develop COVID-19 vaccine as safe and as soon as possible...","","1 and 3","2","3 and 4","4","None of the paragraph","D","1",""
"Based on Text 4, from 100 potential vaccine candidates, five of them tested in people because...","","Volunteering the vaccine trials named ChAd0x1 nCoV-19","Those vaccine candidates are in phase 1 clinical trials","Announced 100 potential COVID-19 candidate vaccines","The potential shot of vaccine done in research","Prepare the side effects to immune responses","B","1",""
"Based on Text 4, why does the vaccine need to be produced as soon as possible...","","To wipe the vaccines of COVID-19 worldwide","To curb the people interest amongst COVID-19 pandemic","To spread information about progress of COVID-19 vaccine","To find cure of COVID-19 for people worldwide","To disinfect people from COVID-19","D","1",""
"Based on Text 4, Paragraph 3 conclude that...","","Large-scale production capacity is about to be build to produce ChAdOx1 nCoV-19 vaccine for COVID-19","ChAdOx1 nCoV-19 vaccine need to be build in large scale production facility","ChAdOx1 nCoV-19 vaccine effects researched in large scale production capacity lab","Large scales production capacity used to research cause unacceptable side effects of ChAd0x1 nCoV-19 vaccine","Initial test is about to launched in large scales production capacity","A","1",""
"Text 5. In a basement lab at Stanford University Medical School, Iret-net Hor-irw's mummy lay tightly wrapped in tattered linen as a handful of scientists looked on. Starting with his feet, the scanner rotated around the mummy, snapping X-ray-type images that appeared on nearby computer screens. The pictures, showing well-preserved bone structure, were then mathematically manipulated to generate 3-D images that give a fuller picture of the skeleton. The highly sophisticated scanning technology allows scientists to learn about the 5-foot-4-inch (163-centimeter-tall) mummy in remarkable detail without doing invasive or damaging procedures. The digital images will show features that relate to paleopathology, diseases that may have been suffered by the individual, also mummification style and patterns - how they may change through time. It will also be useful for teaching anatomy to everyone from small children through medical school. Iret-net Hor-irw is believed to be an ancient Egyptian priest, and his mummy belongs to the Fine Arts Museums of San Francisco. It was dug up from a cemetery in Akhmim, on the east bank of the Nile. Akhmim, from which the maternal relatives of the famous King Tut come, was an important provincial capital and the site of one of Egypt's major temples. Scientists have not been able to pinpoint Iret-net Hor-irw's age when he died or his cause of death. The scanning tests may help them get a little closer. For now, they can only date him to around 500 B.C., just before the Persian conquest, when the last native Egyptian dynasty ruled. It is one of the eras which is very poorly understood. After scientists are finished with him, Iret-net Hor-irw's mummy will be the centerpiece of an exhibit at the Legion of Honor in San Francisco. The mummy has been out on loan from the Fine Arts Museums of San Francisco since 1944, and the exhibit, ""Very Postmortem: Mummies and Medicine,"" is considered his homecoming. 16. An appropriate title for the text is...","","Stanford Computer to Help Paleopathology","An Exhibition of an Egyptian Priest's Mummy","New Technology to Find A Mummy's Cause of Death","The Homecoming of The Fine Arts Museums' Collection","Scanning Technology to Help Unwrap the Mystery of the Mummy","E","1",""
"Based on Text 5, the word invasive in paragraph 2 can be best replaced by...","","consistent","surgical","serious","comprehensive","invading","C","1",""
"Based on Text 5, what can be learnt from the computer images about the mummy?","","How long he had lived.","How he died.","His hierarchy in Egyptian temples.","How he was mummified.","How he had served King Tut.","B","1",""
"Based on Text 5, which of the following statements about the text is FALSE?","","The mummies bone structure is in fine condition.","The mummy can serve educational purposes.","The mummy was thought to be one of the Egyptian kings.","The mummy belongs to an American museum.","The scientists are able to tell the mummies medical history.","A","1",""
"Based on Text 5, the text is most probably found in...","","a leaflet of a museum exhibition","an article in a medical journal","a preface of an exhibition programme book","an article in a newspaper","a preface of a medical book","A","1",""
