Mata_Pelajaran|Topik|Nomor_Soal|Pertanyaan|Opsi_A|Opsi_B|Opsi_C|Opsi_D|Opsi_E|Kunci_Jawaban|Pembahasan
Penalaran Umum|Day 1|27|Sebuah usaha kecil menengah pembuat roti membeli tepung terigu selama lima hari berturut-turut sebanyak 3, 5, 7, 9, dan 11 kg. Pengolahan tepung tersebut menghasilkan roti sebanyak 5, 8, 9, 12, dan 13 kg. Jika tren perubahan tersebut bersifat konstan, berapa kg roti yang dihasilkan pada hari ke-6?|14|15|16|17|18|N/A|
Penalaran Umum|Day 1|28|Jumlah penggunaan pupuk tahun lalu 20% lebih sedikit dibandingkan jumlah yang digunakan tahun ini. Jika jumlah pupuk yang digunakan tahun ini adalah 240 kg. Berapakah jumlah pupuk yang digunakan tahun lalu?|180 kg|185 kg|190 kg|192 kg|200 kg|C|
Penalaran Umum|Day 1|29|Bacalah dua informasi berikut! (1) Dari total 1.500 siswa, sebanyak 900 siswa mengikuti kegiatan ekstrakuli- kuler. (2) Setiap kegiatan ekstrakulikuler diikuti oleh 30 hingga 60 siswa dengan be- berapa siswa mengikuti lebih dari satu kegiatan. Pilihlah informasi yang dapat digunakan untuk menjawab pertanyaan, ”Apakah lebih dari setengah jumlah siswa mengikuti setidaknya satu kegiatan ekstrakulikuler?”|Cukup (1).|Cukup (2).|Informasi (1) dan (2).|Menggunakan (1) saja atau (2) saja.|Kedua informasi tidak cukup.|N/A|
Penalaran Umum|Day 1|30|Keuntungan penjualan sayuran biasa 1/5 dari sayuran organik. Berikut data penjualan dari lima toko pada minggu ini. Toko Penjualan (dalam kg) Sayuran Biasa Sayuran Organik I 35 45 II 30 50 III 40 45 IV 25 50 V 65 35 Toko manakah yang memiliki keuntungan TERBESAR?|I|II|III|IV|V u k|B|
Penalaran Umum|Day 2|1|Apabila tidak ditanam dalam pot berlubang, akar tanaman akan mudah mem- busuk. Fenomena tersebut terjadi pada tanaman P. Manakah simpulan berikut yang benar?|Tanaman P dapat ditanam dalam pot berlubang agar tidak mudah mem- busuk.|Semua akar tanaman akan tumbuh baik jika ditanam dalam pot berlubang.|Sebagian tanaman sebaiknya ditanam dalam pot berlubang, kecuali tanam- an P.|Akar tanaman P akan mudah membusuk jika tidak ditanam dalam pot berlubang.|Akar akan tumbuh dengan baik meski tanaman tidak ditanam dalam pot berlubang.|D|
Penalaran Umum|Day 2|2|Pedagang Pasar SKY yang terdaftar dalam paguyuban UMKM menjual ma- kanan. Sebagian dari mereka juga berjualan minuman herbal lebih bervariasi dibandingkan penjual lain. Berdasarkan informasi di atas, manakah simpulan yang tepat?|Sebagian pedagang yang tidak menjual minuman herbal bukan merupakan bagian dari pedagang Pasar SKY.|Semua pedagang Pasar SKY yang terdaftar di paguyuban UMKM menjual minuman herbal yang lebih bervariasi.|Beberapa pedagang Pasar SKY yang berjualan makanan dan minuman her- bal yang lebih bervariasi dari penjual lain.|Beberapa pedagang Pasar SKY berjualan makanan yang lebih bervariasi dari penjual lain, tetapi tidak menjual minuman herbal.|Pedagang Pasar SKY yang terdaftar dalam paguyuban UMKM berjualan makanan dan minuman herbal.|C|
Penalaran Umum|Day 2|3|Untuk memenuhi kebutuhan bulanan, X akan berbelanja di swalayan dekat ru- mah atau berbelanja melalui internet. Teman X menawarkan pergi bersama ke pusat grosir yang terkenal murah. Karena lokasinya di luar kota, X meno- lak tawaran tersebut. Apa yang paling mungkin dilakukan X untuk memenuhi kebutuhan bulanannya?|Berbelanja di swalayan dekat rumah dan berbelanja melalui internet.|Berbelanja di swalayan dekat rumah atau berbelanja melalui internet.|Pergi berbelanja di pusat grosir yang lokasinya paling dekat dengan rumah- nya.|Berbelanja di swalayan dekat rumah, tetapi tidak berbelanja melalui inter- net.|Berbelanja melalui internet, tetapi tidak berbelanja di swalayan dekat ru- mah.|B|
Penalaran Umum|Day 2|4|Ketika Desa XYZ melakukan gotong royong, intensitas interaksi antarwarga me- ningkat dibandingkan ketika kegiatan tersebut tidak dilakukan. Hal serupa ter- jadi ketika Desa XYZ melakukan kegiatan olahraga bersama. Namun, ketika Desa XYZ mengadakan festival musik, intensitas interaksi antarwarganya tidak berbeda dengan ketika hal tersebut tidak dilakukan. Berdasarkan informasi di atas, manakah dari pernyataan berikut yang PALING MUNGKIN BENAR?|Intensitas interaksi antarwarga di Desa XYZ akan menurun ketika kegiatan gotong royong tidak dilakukan.|Kegiatan gotong royong atau olahraga bersama meningkatkan intensitas interaksi antarwarga Desa XYZ.|Penyelenggaraan kegiatan festival musik di desa lain menurunkan intensitas interaksi antarwarga di Desa XYZ.|Mengadakan festival musik meningkatkan intensitas interaksi antarwarga Desa XYZ dibandingkan ketika tidak dilakukan.|Meskipun kegiatan olahraga bersama dilakukan di desa lain, intensitas in- teraksi warga Desa XYZ tetap meningkat.|B|
Penalaran Umum|Day 2|5|Stres yang dialami pekerja menyebabkan mereka sering mendengarkan lagu da- ngdut. Seringnya mendengarkan lagu dangdut menyebabkan pekerja sering ber- joget. Meskipun atasan mereka telah mengurangi beban tugas pekerja, tetap saja banyak tugas yang tidak selesai karena pekerja sering berjoget. Berdasark- an informasi di atas, manakah pernyataan di bawah ini yang BENAR?|Berkurangnya beban tugas pekerja menyebabkan mereka merasa stres.|Seringnya pekerja berjoget menyebabkan atasan mengurangi beban kerja.|Seringnya lagu dangdut diputar disebabkan berkurangnya tugas para pe- kerja.|Pekerja menjadi sering berjoget karena mereka mengalami stres akibat beb- an kerja.|Selesainya pekerjaan disebabkan banyak pekerja yang mengalami stres.|D|
Penalaran Umum|Day 2|6|Daging sapi banyak dikonsumsi untuk menambah asupan protein hewani dalam tubuh. Selain itu, daging sapi juga menyediakan energi yang dibutuhkan un- tuk aktivitas sehari-hari. Namun, konsumsi daging sapi yang berlebihan dapat menyebabkan dampak negatif bagi kesehatan tubuh dan pengeluaran keuang- an. Konsumsi daging sapi yang berlebihan dapat meningkatkan kadar kolesterol dalam darah dan menambah biaya makan. Berdasarkan informasi tersebut, ma- nakah pernyataan berikut yang PASTI SALAH?|Biaya makan seseorang meningkat karena mengonsumsi daging.|Daging sapi tidak menyebabkan peningkatan kolesterol dalam darah. an. iA|Kesehatan tubuh seseorang menurun karena konsumsi daging sapi berlebih-|Daging sapi dapat membantu pembentukan otot pada tubuh manusia.|Orang yang terlihat kurang berenergi disarankan mengonsumsi daging sapi.|B|
Penalaran Umum|Day 2|7|Menanam tanaman organik semakin diminati karena tidak menggunakan bah- an kimia dan lebih menyehatkan. Salah satu jenis tanaman organik yang ba- nyak ditanam adalah tanaman X yang mengandung serat tinggi dan kaya akan antioksidan. Berdasarkan paparan tersebut, manakah simpulan yang PALING TEPAT?|Hanya tanaman organik jenis X yang tidak menggunakan bahan kimia.|Beberapa orang menyukai tanaman organik jenis X karena kayak nutrisi.|Tanaman organik yang sehat pasti mengandung serat.|Semua tanaman organik mengandung serat yang tinggi.|Tanaman organik selain jenis X tidak kaya akan antioksidan.|B|
Penalaran Umum|Day 2|8|Saat ini stok buah-buahan di pasar sangat banyak karena panen raya tidak gagal. Biasanya, saat musim hujan, petani gagal panen. Berdasarkan pernyataan di atas, manakah simpulan yang BENAR?|Saat ini akan memasuki musim hujan.|Saat ini bukan musim hujan.|Saat ini petani buah mengalami gagal panen|Saat ini stok gua di pasar terbatas.|Saat ini stok buah di pasar sesuai kebutuhan 9. Atlet X meraih juara nasional berkat dukungan pelatih yang berpengalaman dan motivasi berprestasi yang kuat. Motivasi yang kuat terlihat dari intensitas latihan yang rutin dan ketepatan waktu menghadiri latihan. Selain itu, faktor pengalaman pelatih menyebabkan atlet terjaga kebugarannya yang terlihat me- lalui daya tahan tubuh yang kuat dan berat badan yang terjaga. Jika Atlet X memiliki bentuk tubuh yang atletis, manakah simpulan di bawah ini yang PALING MUNGKIN BENAR? (a) Atlet X melakukan latihan fisik secara rutin. (b) Atlet X dibimbing oleh pelatih yang berpengalaman. (c) Atlet X datang tepat waktu ketika mengikuti latihan. (d) Atlet X baru saja meraih predikat juara nasional. (e) Atlet X memiliki motivasi berprestasi yang tinggi.|B|
Penalaran Umum|Day 2|10|Kondisi tanaman pada saat dibeli sangat subur dan indah untuk hiasan rumah. Setelah dipelihara selama dua bulan oleh kakak, tanaman tersebut daunnya se- ring rontok dan menguning. Manakah pernyataan berikut yang PALING MUNG- KIN BENAR menjelaskan perbedaan kedua kondisi tersebut?|Pada awal membeli tanaman tersebut, kakak rajin merawat dan memberik- an pupuk.|Kakak tidak mengganti tanah yang sudah kering pada tanaman tersebut.|Tanaman sering diletakkan di halaman yang terkena sinar matahari lang- sung|Setelah dirawat kakak, tanaman tersebut jarang diberi pupuk yang dapat menyuburkan.|Tanaman tersebut memerlukan aktivitas perawatan yang sulit dan membu- tuhkan perhatian.|D|
Penalaran Umum|Day 2|11|Memakai jaket tebal di kala Matahari sedang terik banyak dilakukan oleh remaja. Banyak dari mereka yang berjalan-jalan di pusat perbelanjaan menggunakan jaket tebal. Para pengamat melihat bahwa kebiasaan tersebut dipengaruhi oleh gaya berbusana para influencer muda. Berdasarkan tulisan di atas, manakah yang PALING MUNGKIN mendasari argumen pengamat?|Remaja mengekspresikan kreativitas mereka dengan berbagai cara.|Memakai jaket tebal dilakukan untuk menarik perhatian di pusat perbelan- jaan.|Remaja terpengaruh Apa yang dilakukan oleh teman-teman sebayanya.|Remaja ingin mencari pakaian yang menurut mereka nyaman dipakai.|Pusat perbelanjaan menjadi wadah bagi mereka untuk mengekspresikan diri.|C|
Penalaran Umum|Day 2|12|Ahli 1 menyatakan bahwa kualitas pelayanan medis di Negara X lebih baik di- bandingkan dengan negara Y. Ahli 2 menyatakan bahwa Negara Y kurang mene- kankan promosi kesehatan pada masyarakat. Fakta menyatakan bahwa banyak rumah sakit dengan akreditasi A di Negara Y dibandingkan Negara X. Manakah pernyataan PALING TEPAT berdasarkan fakta tersebut?|Memperkuat pernyataan Ahli 1|Memperlemah pernyataan Ahli 1|Memperkuat pernyataan Ahli 2|Memperlemah pernyataan Ahli 2|Tidak relevan dengan pernyataan Ahli 1 dan Ahli 2|B|
