"question_text","question_image","option_a","option_b","option_c","option_d","option_e","correct_answer","score_weight"
"Teks 3. (1) Amerika Serikat telah mengakhiri keikutsertaan Turki dalam program jet tempur F-35. (2) Keputusan itu merupakan respons atas pembelian sistem pertahanan S-400 Rusia senilai 2,5 miliar dolar oleh Turki. (3) Gedung Putih menyebutkan Turki akan tetap menjadi mitra strategis yang penting dan bahwa kerjasama keamanan akan berlanjut. (4) Pengumuman dikeluarkannya Turki dari program jet tempur F-35 itu muncul setelah kiriman pertama S-400 tiba di Turki. (5) Sistem pertahanan S-400 buatan Rusia tersebut diterbangkan ke pangkalan militer di ibukota Turki, Ankara. (6) Para pejabat Pentagon memperingatkan kembali anggota NATO itu mengenai larangan pembelian dari Rusia. (7) Pembelian S-400 oleh Turki tidak konsisten dengan berbagai komitmen-komitmennya terhadap NATO. (8) Tindakan ini akan berdampak buruk bagi interoperabilitas Turki dengan sekutu.

Perhatikan gambar tabel berikut ini.

Tentukan urutan kebenaran (Benar/Salah) dari pernyataan-pernyataan pada tabel dari atas ke bawah!","img/soal/tabel_soal_11.jpg","Salah - Benar - Salah - Benar - Benar","Benar - Salah - Benar - Salah - Salah","Salah - Salah - Benar - Benar - Benar","Benar - Benar - Salah - Salah - Benar","Salah - Benar - Benar - Benar - Salah","A","1"
"Teks 4. Keraton merupakan bangunan yang berperan penting bagi sebuah kerajaan. Contohnya adalah Keraton Surosowan, yang berperan penting dalam percaturan sejarah masa lalu. Keraton ini merupakan pusat dari Kerajaan Banten pada abad XVI sampai awal XIX Masehi. Seperti halnya keraton di Jawa, Keraton Surosowan juga memiliki makna ganda, yakni sebagai bangunan tempat tinggal sultan dan keluarganya beserta perangkat kerajaan lainnya, serta sebagai pusat kerajaan, dalam hal ini kerajaan Banten. Mengikuti pola umum tata kota kerajaan Islam di Indonesia, Keraton Surosowan juga merupakan pusat Kota Banten. Dalam perjalanan sejarahnya, Keraton Surosowan mengalami pasang surut. Keraton ini pertama kali dibangun pada masa Sultan Hasanuddin. Akan tetapi, keraton itu kemudian hancur dan dibangun kembali oleh Sultan Haji tahun 1680 sampai dengan 1681. Pada tahun 1808, keraton ini mengalami kehancuran kembali oleh Belanda. Sejak saat itu, Keraton Surosowan hanya berupa puing-puing. Saat ini, sebagian besar sisa-sisa bangunan masih terpendam di dalam tanah. Hanya sebagian kecil yang sudah dimunculkan melalui beberapa kali ekskavasi yang dilaksanakan oleh Direktorat Perlindungan dan Pembinaan Peninggalan Sejarah dan Purbakala, Pusat Penelitian Arkeologi Nasional, dan Universitas Indonesia, sejak 1967. Berdasarkan hasil penelitian tersebut, diketahui bahwa sisa-sisa bangunan yang menarik dan masih dapat diamati, antara lain tembok keliling, struktur fondasi bangunan, struktur lantai, saluran air, kolam pemandian, dan sisa bangunan lainnya.

Simpulan yang sesuai dengan bacaan di atas adalah ....","","Kerajaan Banten adalah salah satu kerajaan Islam di Indonesia.","Keraton Surosowan merupakan bukti bahwa Kerajaan Banten pernah berjaya.","Para peneliti pernah melakukan penggalian di Situs Keraton Surosowan.","Keraton Surosowan dibangun pada masa Sultan Hasanuddin.","Keraton Surosowan saat ini hanya berupa puing-puing.","B","1"
"Teks 4. Keraton merupakan bangunan yang berperan penting bagi sebuah kerajaan. Contohnya adalah Keraton Surosowan, yang berperan penting dalam percaturan sejarah masa lalu. Keraton ini merupakan pusat dari Kerajaan Banten pada abad XVI sampai awal XIX Masehi. Seperti halnya keraton di Jawa, Keraton Surosowan juga memiliki makna ganda, yakni sebagai bangunan tempat tinggal sultan dan keluarganya beserta perangkat kerajaan lainnya, serta sebagai pusat kerajaan, dalam hal ini kerajaan Banten. Mengikuti pola umum tata kota kerajaan Islam di Indonesia, Keraton Surosowan juga merupakan pusat Kota Banten. Dalam perjalanan sejarahnya, Keraton Surosowan mengalami pasang surut. Keraton ini pertama kali dibangun pada masa Sultan Hasanuddin. Akan tetapi, keraton itu kemudian hancur dan dibangun kembali oleh Sultan Haji tahun 1680 sampai dengan 1681. Pada tahun 1808, keraton ini mengalami kehancuran kembali oleh Belanda. Sejak saat itu, Keraton Surosowan hanya berupa puing-puing. Saat ini, sebagian besar sisa-sisa bangunan masih terpendam di dalam tanah. Hanya sebagian kecil yang sudah dimunculkan melalui beberapa kali ekskavasi yang dilaksanakan oleh Direktorat Perlindungan dan Pembinaan Peninggalan Sejarah dan Purbakala, Pusat Penelitian Arkeologi Nasional, dan Universitas Indonesia, sejak 1967. Berdasarkan hasil penelitian tersebut, diketahui bahwa sisa-sisa bangunan yang menarik dan masih dapat diamati, antara lain tembok keliling, struktur fondasi bangunan, struktur lantai, saluran air, kolam pemandian, dan sisa bangunan lainnya.

Pernyataan yang tidak sesuai dengan isi bacaan di atas adalah ...","","Keraton Surosowan dibangun kembali pada masa Belanda.","Keraton Surosowan tidak hanya merupakan tempat tinggal raja dan keluarganya.","Sisa-sisa bangunan Keraton Surosowan masih dapat ditemukan sampai saat ini.","Sultan-sultan yang telah membangun Keraton Surosowan adalah Sultan Hasanudin dan Sultan Haji.","Para arkeolog telah melakukan penggalian pada situs Keraton Surosowan sejak tahun 1960-an.","A","1"
"Teks 4. Keraton merupakan bangunan yang berperan penting bagi sebuah kerajaan. Contohnya adalah Keraton Surosowan, yang berperan penting dalam percaturan sejarah masa lalu. Keraton ini merupakan pusat dari Kerajaan Banten pada abad XVI sampai awal XIX Masehi. Seperti halnya keraton di Jawa, Keraton Surosowan juga memiliki makna ganda, yakni sebagai bangunan tempat tinggal sultan dan keluarganya beserta perangkat kerajaan lainnya, serta sebagai pusat kerajaan, dalam hal ini kerajaan Banten. Mengikuti pola umum tata kota kerajaan Islam di Indonesia, Keraton Surosowan juga merupakan pusat Kota Banten. Dalam perjalanan sejarahnya, Keraton Surosowan mengalami pasang surut. Keraton ini pertama kali dibangun pada masa Sultan Hasanuddin. Akan tetapi, keraton itu kemudian hancur dan dibangun kembali oleh Sultan Haji tahun 1680 sampai dengan 1681. Pada tahun 1808, keraton ini mengalami kehancuran kembali oleh Belanda. Sejak saat itu, Keraton Surosowan hanya berupa puing-puing. Saat ini, sebagian besar sisa-sisa bangunan masih terpendam di dalam tanah. Hanya sebagian kecil yang sudah dimunculkan melalui beberapa kali ekskavasi yang dilaksanakan oleh Direktorat Perlindungan dan Pembinaan Peninggalan Sejarah dan Purbakala, Pusat Penelitian Arkeologi Nasional, dan Universitas Indonesia, sejak 1967. Berdasarkan hasil penelitian tersebut, diketahui bahwa sisa-sisa bangunan yang menarik dan masih dapat diamati, antara lain tembok keliling, struktur fondasi bangunan, struktur lantai, saluran air, kolam pemandian, dan sisa bangunan lainnya.

Kalimat topik paragraf kedua di atas adalah","","Keraton Surosowan mengalami pasang surut.","Keraton itu kemudian hancur dan dibangun kembali oleh Sultan Haji tahun 1680 sampai dengan 1681.","Keraton ini mengalami kehancuran kembali oleh Belanda.","Keraton Surosowan hanya berupa puing-puing.","Keraton itu dibangun kembali oleh Sultan Haji tahun 1680 sampai dengan 1681.","A","1"
"Teks 4. Keraton merupakan bangunan yang berperan penting bagi sebuah kerajaan. Contohnya adalah Keraton Surosowan, yang berperan penting dalam percaturan sejarah masa lalu. Keraton ini merupakan pusat dari Kerajaan Banten pada abad XVI sampai awal XIX Masehi. Seperti halnya keraton di Jawa, Keraton Surosowan juga memiliki makna ganda, yakni sebagai bangunan tempat tinggal sultan dan keluarganya beserta perangkat kerajaan lainnya, serta sebagai pusat kerajaan, dalam hal ini kerajaan Banten. Mengikuti pola umum tata kota kerajaan Islam di Indonesia, Keraton Surosowan juga merupakan pusat Kota Banten. Dalam perjalanan sejarahnya, Keraton Surosowan mengalami pasang surut. Keraton ini pertama kali dibangun pada masa Sultan Hasanuddin. Akan tetapi, keraton itu kemudian hancur dan dibangun kembali oleh Sultan Haji tahun 1680 sampai dengan 1681. Pada tahun 1808, keraton ini mengalami kehancuran kembali oleh Belanda. Sejak saat itu, Keraton Surosowan hanya berupa puing-puing. Saat ini, sebagian besar sisa-sisa bangunan masih terpendam di dalam tanah. Hanya sebagian kecil yang sudah dimunculkan melalui beberapa kali ekskavasi yang dilaksanakan oleh Direktorat Perlindungan dan Pembinaan Peninggalan Sejarah dan Purbakala, Pusat Penelitian Arkeologi Nasional, dan Universitas Indonesia, sejak 1967. Berdasarkan hasil penelitian tersebut, diketahui bahwa sisa-sisa bangunan yang menarik dan masih dapat diamati, antara lain tembok keliling, struktur fondasi bangunan, struktur lantai, saluran air, kolam pemandian, dan sisa bangunan lainnya.

Perhatikan gambar tabel berikut ini.

Tentukan urutan kebenaran (Benar/Salah) dari pernyataan-pernyataan pada tabel dari atas ke bawah!","img/soal/tabel_soal_15.jpg","Salah - Salah - Benar - Benar - Salah","Benar - Benar - Benar - Salah - Salah","Salah - Benar - Salah - Benar - Salah","Benar - Salah - Benar - Salah - Benar","Salah - Benar - Benar - Salah - Salah","A","1"
"Teks 5. Memahami FOMO, Fear of Missing Out. Kemajuan teknologi membuai siapa saja yang memanfaatkannya. Tak jarang kemajuan teknologi membuat orang kecanduan dan tidak bisa lepas dari perangkat digital dalam hubungan sosial. Ada sindrom yang membuat orang-orang takut dan gelisah jika berjauhan dengan perangkat teknologi dan kehidupan di media sosial, yaitu Fear of Missing Out (FOMO). Lalu, mengapa fenomena FOMO ini lebih banyak terjadi pada perempuan? FOMO adalah sebuah fenomena mengenai seseorang yang merasa takut dan gelisah jika tidak mengikuti obrolan dan isu-isu di media sosial. FOMO disebut-sebut sebagai pemicu terjadinya nomophobia atau ketakutan jika berjauhan dengan telepon genggam. Beberapa jenis gangguan kejiwaan tersebut disebabkan oleh fenomena FOMO. FOMO telah diteliti secara mendalam dan dipublikasikan di jurnal Computers in Human Behaviour pada tahun 2013 silam. Faktor yang membuat FOMO semakin fenomenal adalah tingkat pengguna media sosial yang sangat tinggi saat ini, terutama di tanah air. Hasil penelitian tentang FOMO menunjukkan bahwa sampel objek di bawah usia 30 tahun memiliki kecenderungan tertinggi mengalami FOMO. Selain itu, uniknya, perempuan disebut lebih banyak mengalami FOMO daripada laki-laki.

Pernyataan yang tidak berhubungan dengan bacaan di atas adalah","","FOMO lebih banyak dialami oleh perempuan","FOMO adalah penyakit yang sama dengan nomophobia","Pengguna media sosial yang sangat tinggi membuat FOMO semakin fenomenal","Kemajuan teknologi membuat orang kecanduan menggunakan perangkat digital dalam hubungan sosial","Kecenderungan tertinggi FOMO dialami oleh orang di bawah usia 30 tahun","B","1"
"Teks 5. Memahami FOMO, Fear of Missing Out. Kemajuan teknologi membuai siapa saja yang memanfaatkannya. Tak jarang kemajuan teknologi membuat orang kecanduan dan tidak bisa lepas dari perangkat digital dalam hubungan sosial. Ada sindrom yang membuat orang-orang takut dan gelisah jika berjauhan dengan perangkat teknologi dan kehidupan di media sosial, yaitu Fear of Missing Out (FOMO). Lalu, mengapa fenomena FOMO ini lebih banyak terjadi pada perempuan? FOMO adalah sebuah fenomena mengenai seseorang yang merasa takut dan gelisah jika tidak mengikuti obrolan dan isu-isu di media sosial. FOMO disebut-sebut sebagai pemicu terjadinya nomophobia atau ketakutan jika berjauhan dengan telepon genggam. Beberapa jenis gangguan kejiwaan tersebut disebabkan oleh fenomena FOMO. FOMO telah diteliti secara mendalam dan dipublikasikan di jurnal Computers in Human Behaviour pada tahun 2013 silam. Faktor yang membuat FOMO semakin fenomenal adalah tingkat pengguna media sosial yang sangat tinggi saat ini, terutama di tanah air. Hasil penelitian tentang FOMO menunjukkan bahwa sampel objek di bawah usia 30 tahun memiliki kecenderungan tertinggi mengalami FOMO. Selain itu, uniknya, perempuan disebut lebih banyak mengalami FOMO daripada laki-laki.

Maksud ""fenomenal"" dalam bacaan di atas adalah ...","","Ajaib","Menghebohkan","Luar biasa","Menggejala","Bombastis","C","1"
"Teks 5. Memahami FOMO, Fear of Missing Out. Kemajuan teknologi membuai siapa saja yang memanfaatkannya. Tak jarang kemajuan teknologi membuat orang kecanduan dan tidak bisa lepas dari perangkat digital dalam hubungan sosial. Ada sindrom yang membuat orang-orang takut dan gelisah jika berjauhan dengan perangkat teknologi dan kehidupan di media sosial, yaitu Fear of Missing Out (FOMO). Lalu, mengapa fenomena FOMO ini lebih banyak terjadi pada perempuan? FOMO adalah sebuah fenomena mengenai seseorang yang merasa takut dan gelisah jika tidak mengikuti obrolan dan isu-isu di media sosial. FOMO disebut-sebut sebagai pemicu terjadinya nomophobia atau ketakutan jika berjauhan dengan telepon genggam. Beberapa jenis gangguan kejiwaan tersebut disebabkan oleh fenomena FOMO. FOMO telah diteliti secara mendalam dan dipublikasikan di jurnal Computers in Human Behaviour pada tahun 2013 silam. Faktor yang membuat FOMO semakin fenomenal adalah tingkat pengguna media sosial yang sangat tinggi saat ini, terutama di tanah air. Hasil penelitian tentang FOMO menunjukkan bahwa sampel objek di bawah usia 30 tahun memiliki kecenderungan tertinggi mengalami FOMO. Selain itu, uniknya, perempuan disebut lebih banyak mengalami FOMO daripada laki-laki.

Simpulan bacaan di atas adalah ...","","FOMO lebih banyak dialami oleh perempuan yang usianya di bawah 30 tahun","Nomophobia dipicu oleh FOMO","Kemajuan teknologi memunculkan sindrom baru yang menjadi perhatian khusus","FOMO adalah sindrom baru yang menjadi perhatian khusus","Media sosial membuat orang cenderung mengalami nomophobia dan FOMO","E","1"
"Teks 5. Memahami FOMO, Fear of Missing Out. Kemajuan teknologi membuai siapa saja yang memanfaatkannya. Tak jarang kemajuan teknologi membuat orang kecanduan dan tidak bisa lepas dari perangkat digital dalam hubungan sosial. Ada sindrom yang membuat orang-orang takut dan gelisah jika berjauhan dengan perangkat teknologi dan kehidupan di media sosial, yaitu Fear of Missing Out (FOMO). Lalu, mengapa fenomena FOMO ini lebih banyak terjadi pada perempuan? FOMO adalah sebuah fenomena mengenai seseorang yang merasa takut dan gelisah jika tidak mengikuti obrolan dan isu-isu di media sosial. FOMO disebut-sebut sebagai pemicu terjadinya nomophobia atau ketakutan jika berjauhan dengan telepon genggam. Beberapa jenis gangguan kejiwaan tersebut disebabkan oleh fenomena FOMO. FOMO telah diteliti secara mendalam dan dipublikasikan di jurnal Computers in Human Behaviour pada tahun 2013 silam. Faktor yang membuat FOMO semakin fenomenal adalah tingkat pengguna media sosial yang sangat tinggi saat ini, terutama di tanah air. Hasil penelitian tentang FOMO menunjukkan bahwa sampel objek di bawah usia 30 tahun memiliki kecenderungan tertinggi mengalami FOMO. Selain itu, uniknya, perempuan disebut lebih banyak mengalami FOMO daripada laki-laki.

Pertanyaan yang jawabannya terdapat dalam bacaan di atas adalah","","Mengapa FOMO menjadi pemicu terjadinya nomophobia?","Di mana dilakukan penelitian terkait FOMO dan nomophobia?","Kapan FOMO mulai fenomenal?","Mengapa orang takut dan gelisah ketika tidak menggenggam telepon genggam?","Apa hasil penelitian yang ada dalam jurnal Computers in Human Behaviour?","E","1"
"Teks 5. Memahami FOMO, Fear of Missing Out. Kemajuan teknologi membuai siapa saja yang memanfaatkannya. Tak jarang kemajuan teknologi membuat orang kecanduan dan tidak bisa lepas dari perangkat digital dalam hubungan sosial. Ada sindrom yang membuat orang-orang takut dan gelisah jika berjauhan dengan perangkat teknologi dan kehidupan di media sosial, yaitu Fear of Missing Out (FOMO). Lalu, mengapa fenomena FOMO ini lebih banyak terjadi pada perempuan? FOMO adalah sebuah fenomena mengenai seseorang yang merasa takut dan gelisah jika tidak mengikuti obrolan dan isu-isu di media sosial. FOMO disebut-sebut sebagai pemicu terjadinya nomophobia atau ketakutan jika berjauhan dengan telepon genggam. Beberapa jenis gangguan kejiwaan tersebut disebabkan oleh fenomena FOMO. FOMO telah diteliti secara mendalam dan dipublikasikan di jurnal Computers in Human Behaviour pada tahun 2013 silam. Faktor yang membuat FOMO semakin fenomenal adalah tingkat pengguna media sosial yang sangat tinggi saat ini, terutama di tanah air. Hasil penelitian tentang FOMO menunjukkan bahwa sampel objek di bawah usia 30 tahun memiliki kecenderungan tertinggi mengalami FOMO. Selain itu, uniknya, perempuan disebut lebih banyak mengalami FOMO daripada laki-laki.

Perhatikan gambar tabel berikut ini.

Tentukan urutan kebenaran (Benar/Salah) dari pernyataan-pernyataan pada tabel dari atas ke bawah!","img/soal/tabel_soal_20.jpg","Benar - Salah - Benar - Salah - Benar","Salah - Benar - Salah - Benar - Benar","Benar - Benar - Salah - Benar - Benar","Benar - Benar - Benar - Salah - Salah","Salah - Salah - Benar - Benar - Salah","C","1"
"Teks 6. Pengelola Sebut ""Memandikan"" Tugu Monas Butuh Biaya Rp 10-18 Miliar. Pengelola Monumen Nasional (Monas) menyebutkan bahwa pembersihan tugu peringatan setinggi 132 meter di Jakarta Pusat itu membutuhkan biaya Rp 10 hingga 18 miliar. ""Untuk pembersihan atau restorasi tugu, kurang lebih anggaran yang diperlukan Rp 10-18 miliar,"" kata Kepala Unit Pengelola Kawasan (UPK) Monas Isa Sarnuri kepada wartawan, Minggu (11/12/2022). Isa mengatakan, Tugu Monas kali terakhir ""dimandikan"" pada 2014. Pengelola berencana membersihkan Tugu Monas pada tahun depan, dengan menggunakan dana dari koefisien lantai bangunan (KLB) atau corporate social responsibility (CSR). Sebab, Pemerintah Provinsi DKI tidak mengalokasikan anggaran pembersihan Tugu Monas, Jakarta Pusat, dalam Anggaran Pendapatan Belanja Daerah (APBD) 2023. ""Kalau untuk anggaran APBD 2023 memang belum ter-cover karena memerlukan biaya yang cukup besar, tetapi untuk pelaksanaannya nanti dimungkinkan menggunakan sumber dana seperti SP3L, KLB, dan CSR. Itu yang sedang kami usahakan,"" ujar Isa. Sebelumnya, Pemprov DKI berencana menganggarkan dana pembersihan Tugu Monas pada 2023. Rencana tersebut diusulkan Wakil Gubernur DKI saat itu, Ahmad Riza Patria. Riza mengatakan bahwa biaya pembersihan Tugu Monas baru akan dianggarkan pada 2023. ""Program yang membutuhkan anggaran itu membutuhkan perencanaan dan tahapan, tidak serta merta langsung dilaksanakan. Jadi ada prosesnya,"" ucap Riza.

Pernyataan yang sesuai dengan teks tersebut adalah ...","","Pembersihan Monas sudah dianggarkan dalam APBD 2023","Pembersihan Monas sudah direncanakan namun belum dilakukan","Pembersihan Monas dapat langsung dilaksanakan","Sumber dana pembersihan Monas telah dianggarkan dari SP3L, dan KLB 2023","Pembersihan Monas telah dilakukan tahun 2023","B","1"
"Teks 6. Pengelola Sebut ""Memandikan"" Tugu Monas Butuh Biaya Rp 10-18 Miliar. Pengelola Monumen Nasional (Monas) menyebutkan bahwa pembersihan tugu peringatan setinggi 132 meter di Jakarta Pusat itu membutuhkan biaya Rp 10 hingga 18 miliar. ""Untuk pembersihan atau restorasi tugu, kurang lebih anggaran yang diperlukan Rp 10-18 miliar,"" kata Kepala Unit Pengelola Kawasan (UPK) Monas Isa Sarnuri kepada wartawan, Minggu (11/12/2022). Isa mengatakan, Tugu Monas kali terakhir ""dimandikan"" pada 2014. Pengelola berencana membersihkan Tugu Monas pada tahun depan, dengan menggunakan dana dari koefisien lantai bangunan (KLB) atau corporate social responsibility (CSR). Sebab, Pemerintah Provinsi DKI tidak mengalokasikan anggaran pembersihan Tugu Monas, Jakarta Pusat, dalam Anggaran Pendapatan Belanja Daerah (APBD) 2023. ""Kalau untuk anggaran APBD 2023 memang belum ter-cover karena memerlukan biaya yang cukup besar, tetapi untuk pelaksanaannya nanti dimungkinkan menggunakan sumber dana seperti SP3L, KLB, dan CSR. Itu yang sedang kami usahakan,"" ujar Isa. Sebelumnya, Pemprov DKI berencana menganggarkan dana pembersihan Tugu Monas pada 2023. Rencana tersebut diusulkan Wakil Gubernur DKI saat itu, Ahmad Riza Patria. Riza mengatakan bahwa biaya pembersihan Tugu Monas baru akan dianggarkan pada 2023. ""Program yang membutuhkan anggaran itu membutuhkan perencanaan dan tahapan, tidak serta merta langsung dilaksanakan. Jadi ada prosesnya,"" ucap Riza.

Dana pembersihan Monas didapatkan dari","","Anggaran Pendapatan Belanja Nasional","Bantuan negara lain","Urunan masyarakat Jakarta","Pengusaha di Jakarta","Corporate social responsibility","E","1"
"Teks 6. Pengelola Sebut ""Memandikan"" Tugu Monas Butuh Biaya Rp 10-18 Miliar. Pengelola Monumen Nasional (Monas) menyebutkan bahwa pembersihan tugu peringatan setinggi 132 meter di Jakarta Pusat itu membutuhkan biaya Rp 10 hingga 18 miliar. ""Untuk pembersihan atau restorasi tugu, kurang lebih anggaran yang diperlukan Rp 10-18 miliar,"" kata Kepala Unit Pengelola Kawasan (UPK) Monas Isa Sarnuri kepada wartawan, Minggu (11/12/2022). Isa mengatakan, Tugu Monas kali terakhir ""dimandikan"" pada 2014. Pengelola berencana membersihkan Tugu Monas pada tahun depan, dengan menggunakan dana dari koefisien lantai bangunan (KLB) atau corporate social responsibility (CSR). Sebab, Pemerintah Provinsi DKI tidak mengalokasikan anggaran pembersihan Tugu Monas, Jakarta Pusat, dalam Anggaran Pendapatan Belanja Daerah (APBD) 2023. ""Kalau untuk anggaran APBD 2023 memang belum ter-cover karena memerlukan biaya yang cukup besar, tetapi untuk pelaksanaannya nanti dimungkinkan menggunakan sumber dana seperti SP3L, KLB, dan CSR. Itu yang sedang kami usahakan,"" ujar Isa. Sebelumnya, Pemprov DKI berencana menganggarkan dana pembersihan Tugu Monas pada 2023. Rencana tersebut diusulkan Wakil Gubernur DKI saat itu, Ahmad Riza Patria. Riza mengatakan bahwa biaya pembersihan Tugu Monas baru akan dianggarkan pada 2023. ""Program yang membutuhkan anggaran itu membutuhkan perencanaan dan tahapan, tidak serta merta langsung dilaksanakan. Jadi ada prosesnya,"" ucap Riza.

Perhatikan gambar tabel berikut ini.

Tentukan urutan kebenaran (Benar/Salah) dari pernyataan-pernyataan pada tabel dari atas ke bawah!","img/soal/tabel_soal_23.jpg","Benar - Salah - Benar - Salah - Benar","Salah - Salah - Salah - Salah - Benar","Salah - Benar - Salah - Benar - Benar","Benar - Benar - Salah - Salah - Salah","Salah - Benar - Benar - Benar - Salah","B","1"
"Teks 7. Ethiopia adalah negara tertua di dunia. Negeri itu telah terbentuk sejak sebelum 4900 tahun yang lalu. Ethiopia terletak di Afrika timur, tepatnya disebelah selatan pintu masuk Laut Merah (Terusan Suez). Negara tetangganya adalah Kongo, Sudan, Somalia, dan Djiboti. Wilayah Ethiopia cukup luas, hampir dua kali luas Pulau Sumatra. Negeri ini sering dilanda cuaca buruk dan musim kering berkepanjangan. Ethiopia adalah negara peternakan kelas 1 dunia. Jumlah sapi dan kudanya menempati urutan ke-10 dunia dengan 2,6 juta ekor sapi dan 1,5 juta kuda. Ethiopia juga merupakan negara pengekspor kopi terbesar keenam dunia. Pada tahun 1985, akibat kemarau yang sangat panjang, negeri ini menggemparkan dunia karena dilanda krisis pangan dan penduduknya menderita kelaparan hebat.

Ide pokok bacaan di atas adalah","","berdirinya negara Ethiopia","letak negara Ethiopia","usia negara Ethiopia","ciri-ciri geografis negara Ethiopia","keadaan alam negara Ethiopia","D","1"
"Teks 7. Ethiopia adalah negara tertua di dunia. Negeri itu telah terbentuk sejak sebelum 4900 tahun yang lalu. Ethiopia terletak di Afrika timur, tepatnya disebelah selatan pintu masuk Laut Merah (Terusan Suez). Negara tetangganya adalah Kongo, Sudan, Somalia, dan Djiboti. Wilayah Ethiopia cukup luas, hampir dua kali luas Pulau Sumatra. Negeri ini sering dilanda cuaca buruk dan musim kering berkepanjangan. Ethiopia adalah negara peternakan kelas 1 dunia. Jumlah sapi dan kudanya menempati urutan ke-10 dunia dengan 2,6 juta ekor sapi dan 1,5 juta kuda. Ethiopia juga merupakan negara pengekspor kopi terbesar keenam dunia. Pada tahun 1985, akibat kemarau yang sangat panjang, negeri ini menggemparkan dunia karena dilanda krisis pangan dan penduduknya menderita kelaparan hebat.

Pernyataan berikut berhubungan, baik secara eksplisit maupun implisit, dengan bacaan di atas kecuali ....","","Ethiopia menempati peringkat 10 dunia dalam hal ternak karena kualitasnya yang baik.","Kekeringan merupakan salah satu masalah serius yang dihadapi Ethiopia.","Ethiopia termasuk negara penghasil kopi dunia.","Krisis pangan yang terjadi di Ethiopia pernah menggemparkan dunia.","Jumlah ternak di Ethiopia cukup banyak.","E","1"
"Teks 8. Mulai pekan depan, Indonesia akan bersiap menyambut kenormalan baru alias new normal. Setelah berbulan-bulan masyarakat 'terpenjara' karena penyebaran virus corona (Coronavirus Disease-2019/Covid-19), aktivitas mulai dibuka sedikit demi sedikit. Pandemi virus yang bermula dari Kota Wuhan, Provinsi Hubei, Republik Rakyat China ini membuat pemerintahan Presiden Joko Widodo (Jokowi) menerbitkan Peraturan Pemerintah mengenai Pembatasan Sosial Berskala Besar (PSBB) pada akhir Maret lalu. PSBB mengamanatkan peliburan sekolah dan perkantoran non-esensial serta pembatasan transportasi umum.

Berdasarkan paragraf tersebut, manakah di bawah ini pernyataan yang benar?","","Normal baru akan dilaksanakan tahun depan","New normal membuka kembali aktivitas masyarakat","New normal tidak mengizinkan masyarakat untuk keluar rumah","Pandemi virus corona bermula di Indonesia","PSBB dilaksanakan sejak bulan April","B","1"
"Teks 9. Selama pandemi corona, masyarakat diimbau memesan makanan maupun bahan pokok secara online guna menekan penyebaran virus penyebab Covid-19. Shopee, Tokopedia, dan Gojek pun mencatatkan lonjakan permintaan produk kuliner. External Communications Senior Lead Tokopedia Ekhel Chandra Wijaya mengatakan, makanan siap masak merupakan produk yang paling banyak di cari di platform. ""Makanan dan minuman, salah satu dari empat kategori produk yang paling populer,"" kata dia kepada Katadata.co.id, Kamis (18/6). Makanan yang banyak diburu konsumen yakni olahan daging dan buah-buahan. Selain itu, permintaan produk kopi kemasan meningkat.

Berdasarkan paragraf tersebut, manakah di bawah ini pernyataan yang benar?","","Selama pandemi corona masyarakat diperbolehkan keluar rumah untuk membeli makanan","Hanya Shopee yang mengalami lonjakan permintaan produk kuliner","Produk makanan siap masak paling banyak dicari di platform","Saat pandemi produk makanan dan minuman sulit didapatkan","Kopi kemasan merupakan produk yang paling banyak diburu","C","1"
"Teks 10. Para peneliti mempelajari tulang dan gigi dari 904 fosil mamalia berplasenta untuk mengukur perbedaan anatomi dan antarspesies. Infomasi yang didapat kemudian digunakan untuk memperbarui pohon silsilah 177 spesies Eutheria-kelompok mamalia yang lebih dekat kekerabatannya dengan manusia daripada dengan kanguru. Sebanyak 94 fosil diantaranya berasal dari era Paleosen. Ini adalah pohon silsilah terbesar yang menggmbarkan mamalia dari era Paleosen. Silsilah yang dianalisis dengan pembagian waktu mulai 140 juta tahun lalu hingga hari ini tersebut menunjukkan perubahan keragaman spesies mamalia.

Ide pokok paragraf di atas adalah","","Fosil mamalia","asal fosil mamalia","silsilah mamalia","keragaman spesies mamalia","perubahan spesies mamalia","A","1"
"Teks 11. Pemanasan global terjadi ketika suhu rata-rata atmosfer, laut, dan daratan meningkat. Hal itu disebabkan oleh menumpuknya gas rumah kaca. Gas ini akan menjadi isolator yang menahan lebih banyak panas matahari yang dipancarkan ke bumi. Memahami berapa banyak metana yang dipancarkan ke bumi dan memahami berapa banyak metana yang dipancarkan ke atmosfer dari semua sumber akan membantu para ilmuwan untuk memperhitungkan jumlah gas rumah kaca global dan mengambil langkah-langkah untuk mengurangi dampaknya.

Simpulan paragraf di atas adalah ...","","Suhu rata-rata atmosfer, laut, dan daratan meningkat","Tumpukan karbon dioksida, metana, dan dinito oksida mengumpul di atmosfer","Gas rumah kaca akan menghalangi sinar matahari ke bumi","Pemanasan global muncul karena peningkatan rerata suhu atmosfer","Jumlah gas rumah kaca dapat dihitung dan direduksi","A","1"
